Date,Observed,Trend,Seasonal,Residual,Month,Day_of_Week
2024-05-01,12847,9668.530612244898,-3002.8698138596105,6181.339201614712,May,Wednesday
2024-05-02,10287,10030.663265306122,-1348.9375140165957,1605.2742487104733,May,Thursday
2024-05-03,11840,10392.795918367347,2201.4478862973765,-754.243804664723,May,Friday
2024-05-04,15693,11479.285714285716,6642.509110787173,-2428.7948250728887,May,Saturday
2024-05-05,17953,11112.142857142859,6870.76185803992,-29.904715182779,May,Sunday
2024-05-06,8481,10606.57142857143,-4902.319382148465,2776.7479535770353,May,Monday
2024-05-07,3254,11066.857142857143,-6460.592145099799,-1352.2649977573437,May,Tuesday
2024-05-08,10277,12702.714285714286,-3002.8698138596105,577.1555281453243,May,Wednesday
2024-05-09,6748,13059.42857142857,-1348.9375140165957,-4962.491057411975,May,Thursday
2024-05-10,15062,12862.285714285714,2201.4478862973765,-1.733600583090265,May,Friday
2024-05-11,27144,13429.428571428569,6642.509110787173,7072.062317784258,May,Saturday
2024-05-12,20450,13112.571428571426,6870.76185803992,466.666713388654,May,Sunday
2024-05-13,7101,13096.285714285712,-4902.319382148465,-1092.9663321372473,May,Monday
2024-05-14,7224,12250.714285714284,-6460.592145099799,1433.877859385515,May,Tuesday
2024-05-15,8059,12057.571428571428,-3002.8698138596105,-995.701614711817,May,Wednesday
2024-05-16,6634,11111.999999999998,-1348.9375140165957,-3129.0624859834024,May,Thursday
2024-05-17,9143,10950.142857142857,2201.4478862973765,-4008.5907434402334,May,Friday
2024-05-18,25792,10751.857142857143,6642.509110787173,8397.633746355685,May,Saturday
2024-05-19,13831,10902.714285714286,6870.76185803992,-3942.4761437542065,May,Sunday
2024-05-20,5968,11202.999999999998,-4902.319382148465,-332.6806178515335,May,Monday
2024-05-21,5836,11706.999999999998,-6460.592145099799,589.5921450998012,May,Tuesday
2024-05-22,9115,11554.0,-3002.8698138596105,563.8698138596105,May,Wednesday
2024-05-23,8736,13358.142857142857,-1348.9375140165957,-3273.205343126261,May,Thursday
2024-05-24,12671,13538.999999999998,2201.4478862973765,-3069.4478862973747,May,Friday
2024-05-25,24721,13437.571428571426,6642.509110787173,4640.919460641401,May,Saturday
2024-05-26,26460,14145.571428571428,6870.76185803992,5443.666713388652,May,Sunday
2024-05-27,7234,14276.999999999998,-4902.319382148465,-2140.6806178515335,May,Monday
2024-05-28,5126,14892.142857142855,-6460.592145099799,-3305.5507120430557,May,Tuesday
2024-05-29,14071,12899.571428571428,-3002.8698138596105,4174.2983852881825,May,Wednesday
2024-05-30,9656,11778.714285714284,-1348.9375140165957,-773.7767716976887,May,Thursday
2024-05-31,16977,11310.285714285714,2201.4478862973765,3465.2663994169097,May,Friday
2024-06-01,10773,11399.857142857143,6642.509110787173,-7269.366253644316,June,Saturday
2024-06-02,18614,10341.285714285714,6870.76185803992,1401.952427674366,June,Sunday
2024-06-03,3955,9942.57142857143,-4902.319382148465,-1085.2520464229647,June,Monday
2024-06-04,5753,8342.857142857143,-6460.592145099799,3870.7350022426563,June,Tuesday
2024-06-05,6661,10492.571428571428,-3002.8698138596105,-828.701614711817,June,Wednesday
2024-06-06,6865,9515.571428571428,-1348.9375140165957,-1301.6339145548318,June,Thursday
2024-06-07,5779,9969.285714285714,2201.4478862973765,-6391.73360058309,June,Friday
2024-06-08,25821,9549.857142857141,6642.509110787173,9628.633746355685,June,Saturday
2024-06-09,11775,9610.285714285714,6870.76185803992,-4706.047572325634,June,Sunday
2024-06-10,7131,10146.42857142857,-4902.319382148465,1886.890810719894,June,Monday
2024-06-11,2817,10869.714285714284,-6460.592145099799,-1592.122140614485,June,Tuesday
2024-06-12,7084,8899.714285714286,-3002.8698138596105,1187.1555281453243,June,Wednesday
2024-06-13,10618,9783.571428571428,-1348.9375140165957,2183.366085445168,June,Thursday
2024-06-14,10842,9713.285714285712,2201.4478862973765,-1072.7336005830884,June,Friday
2024-06-15,12031,10074.571428571428,6642.509110787173,-4686.080539358601,June,Saturday
2024-06-16,17962,9963.142857142857,6870.76185803992,1128.0952848172228,June,Sunday
2024-06-17,6639,8921.571428571428,-4902.319382148465,2619.747953577037,June,Monday
2024-06-18,5346,9146.714285714286,-6460.592145099799,2659.877859385513,June,Tuesday
2024-06-19,6304,10371.857142857143,-3002.8698138596105,-1064.9873289975326,June,Wednesday
2024-06-20,3327,9239.142857142857,-1348.9375140165957,-4563.205343126261,June,Thursday
2024-06-21,12418,8765.285714285714,2201.4478862973765,1451.2663994169097,June,Friday
2024-06-22,20607,8376.142857142857,6642.509110787173,5588.34803206997,June,Saturday
2024-06-23,10033,8737.571428571428,6870.76185803992,-5575.333286611348,June,Sunday
2024-06-24,3322,9559.42857142857,-4902.319382148465,-1335.109189280106,June,Monday
2024-06-25,2622,9862.571428571428,-6460.592145099799,-779.9792834716282,June,Tuesday
2024-06-26,8834,8816.0,-3002.8698138596105,3020.8698138596105,June,Wednesday
2024-06-27,9080,9043.142857142855,-1348.9375140165957,1385.7946568737407,June,Thursday
2024-06-28,14540,9885.42857142857,2201.4478862973765,2453.123542274053,June,Friday
2024-06-29,13281,10653.142857142855,6642.509110787173,-4014.651967930028,June,Saturday
2024-06-30,11623,10178.714285714284,6870.76185803992,-5426.476143754205,June,Sunday
2024-07-01,9218,10357.57142857143,-4902.319382148465,3762.7479535770353,July,Monday
2024-07-02,7996,12268.857142857143,-6460.592145099799,2187.7350022426563,July,Tuesday
2024-07-03,5513,11507.714285714284,-3002.8698138596105,-2991.844471854674,July,Wednesday
2024-07-04,10332,12213.571428571428,-1348.9375140165957,-532.6339145548318,July,Thursday
2024-07-05,27919,11844.571428571428,2201.4478862973765,13872.980685131195,July,Friday
2024-07-06,7953,11780.42857142857,6642.509110787173,-10469.937682215743,July,Saturday
2024-07-07,16564,11756.142857142855,6870.76185803992,-2062.9047151827754,July,Sunday
2024-07-08,6635,12390.857142857143,-4902.319382148465,-853.5377607086784,July,Monday
2024-07-09,7547,9214.142857142859,-6460.592145099799,4793.449287956941,July,Tuesday
2024-07-10,5343,11472.571428571428,-3002.8698138596105,-3126.701614711817,July,Wednesday
2024-07-11,14775,12135.285714285714,-1348.9375140165957,3988.651799730882,July,Thursday
2024-07-12,5682,11719.714285714284,2201.4478862973765,-8239.16217201166,July,Friday
2024-07-13,23762,11103.42857142857,6642.509110787173,6016.062317784256,July,Saturday
2024-07-14,21203,10895.714285714286,6870.76185803992,3436.5238562457935,July,Sunday
2024-07-15,3726,11009.285714285714,-4902.319382148465,-2380.966332137249,July,Monday
2024-07-16,3233,11836.57142857143,-6460.592145099799,-2142.97928347163,July,Tuesday
2024-07-17,3889,10242.42857142857,-3002.8698138596105,-3350.55875756896,July,Wednesday
2024-07-18,15570,10212.142857142857,-1348.9375140165957,6706.794656873739,July,Thursday
2024-07-19,11473,11373.571428571428,2201.4478862973765,-2102.019314868804,July,Friday
2024-07-20,12603,11188.285714285716,6642.509110787173,-5227.794825072889,July,Saturday
2024-07-21,20991,12964.857142857143,6870.76185803992,1155.3809991029366,July,Sunday
2024-07-22,11856,12945.42857142857,-4902.319382148465,3812.890810719894,July,Monday
2024-07-23,1936,14106.714285714284,-6460.592145099799,-5710.122140614485,July,Tuesday
2024-07-24,16325,14197.428571428569,-3002.8698138596105,5130.441242431041,July,Wednesday
2024-07-25,15434,15144.142857142855,-1348.9375140165957,1638.7946568737407,July,Thursday
2024-07-26,19602,14030.85714285714,2201.4478862973765,3369.694970845484,July,Friday
2024-07-27,13238,14869.857142857141,6642.509110787173,-8274.366253644315,July,Saturday
2024-07-28,27618,13063.714285714283,6870.76185803992,7683.523856245797,July,Sunday
2024-07-29,4063,15630.484693877557,-4902.319382148465,-6665.1653117290925,July,Monday
2024-07-30,7809,15949.17346938776,-6460.592145099799,-1679.5813242879613,July,Tuesday
2024-07-31,3682,16267.862244897964,-3002.8698138596105,-9582.992431038354,July,Wednesday
